permalink,api_path,web_path,api_url,name,stock_exchange,stock_symbol,primary_role,short_description,profile_image_url,domain,homepage_url,facebook_url,twitter_url,linkedin_url,city_name,region_name,country_code,created_at,updated_at
cobblestone,organizations/cobblestone,organization/cobblestone,https://api.crunchbase.com/v3.1/organizations/cobblestone,Cobblestone Consulting,,,company,"Cobblestone Consulting is an IT firm that provides projects, training and technology consultancy services.",http://public.crunchbase.com/t_api_images/teznb3dxiwgavxnrsjg8,cobblestoneconsulting.com,http://www.cobblestoneconsulting.com,,,https://www.linkedin.com/company/cobblestone-consulting-inc/,Atlanta,Georgia,United States,1598599683,1598881484
ghost-motors,organizations/ghost-motors,organization/ghost-motors,https://api.crunchbase.com/v3.1/organizations/ghost-motors,Ghost Motors,,,company,GHOST  - a car with 100 faces!!!,http://public.crunchbase.com/t_api_images/acdbc1pb1yzmzybc3uhp,ghostmotors.co,http://ghostmotors.co,,,https://www.linkedin.com/company/ghostmotors,New York,New York,United States,1598880815,1598881366
watermark-6d19,organizations/watermark-6d19,organization/watermark-6d19,https://api.crunchbase.com/v3.1/organizations/watermark-6d19,Watermark,,,company,"Watermark is an agency specializing in boutique marketing, content management, branding and advertising services.",http://public.crunchbase.com/t_api_images/jl98ia5qolwoillisglj,wmkagency.com/,https://wmkagency.com/,https://www.facebook.com/watermarkagency/,https://twitter.com/WatermarkAgency,https://www.linkedin.com/company/watermark-agency/,Denver,Colorado,United States,1598613728,1598881201
well-dressed-walrus,organizations/well-dressed-walrus,organization/well-dressed-walrus,https://api.crunchbase.com/v3.1/organizations/well-dressed-walrus,Well Dressed Walrus,,,company,Well Dressed Walrus is a digital agency that offers website creation and online marketing for small to medium-sized businesses.,http://public.crunchbase.com/t_api_images/gimazxheh0t8lxokhrw0,welldressedwalrus.com/,https://welldressedwalrus.com/,https://www.facebook.com/wdwalrus/,https://twitter.com/wdwalrus,https://www.linkedin.com/company/well-dressed-walrus/,Spokane,Washington,United States,1598598699,1598881155
red-clay-hot-sauce,organizations/red-clay-hot-sauce,organization/red-clay-hot-sauce,https://api.crunchbase.com/v3.1/organizations/red-clay-hot-sauce,Red Clay Hot Sauce,,,company,"A modern, digital-savvy hot sauce & hot honey brand. Its sauces are cold-pressed, fermented and crafted for foodies by a hard-working chef.",http://public.crunchbase.com/t_api_images/icg8z0ilnjwyde8we3sx,redclayhotsauce.com/,https://redclayhotsauce.com/,https://www.facebook.com/redclayhotsauce,https://twitter.com/redclayhotsauce,https://www.linkedin.com/company/redclayhotsauce/,Charleston,South Carolina,United States,1596521787,1598881079
big-fish-technology,organizations/big-fish-technology,organization/big-fish-technology,https://api.crunchbase.com/v3.1/organizations/big-fish-technology,Big Fish Technology,,,company,"Big Fish Technology renders customized IT services in network management, server management and project support.",http://public.crunchbase.com/t_api_images/on1xortxdkmglg2xou95,bigfishtechnology.com/,https://bigfishtechnology.com/,https://www.facebook.com/BigFishTechnology,https://twitter.com/bigfishtechga,https://www.linkedin.com/company/big-fish-technology/,Alpharetta,Georgia,United States,1598430296,1598881051
noldus-information-technology,organizations/noldus-information-technology,organization/noldus-information-technology,https://api.crunchbase.com/v3.1/organizations/noldus-information-technology,Noldus Information Technology,,,company,"Noldus Information Technology develops software, instruments, integrated systems and services for behavioral research",http://public.crunchbase.com/t_api_images/3be1952360df51761732,noldus.com/,http://www.noldus.com/,https://www.facebook.com/NoldusInformationTechnology,https://twitter.com/NoldusIT,https://www.linkedin.com/company/28105/admin/,Wageningen,Gelderland,The Netherlands,1574707419,1598880906
universal-tile-group,organizations/universal-tile-group,organization/universal-tile-group,https://api.crunchbase.com/v3.1/organizations/universal-tile-group,Universal Tile Group,,,company,"Universal Tile Group focuses on flooring installations, interior design, home renovation and project planning.",http://public.crunchbase.com/t_api_images/zzbqm1rf9jpx4sij1jk1,universaltilegroup.com,http://www.universaltilegroup.com,https://www.facebook.com/universaltilegroup/?modal=admin_todo_tour,,https://www.linkedin.com/company/universal-tile-group/,Hollywood,Florida,United States,1598597382,1598880775
metalloy-international,organizations/metalloy-international,organization/metalloy-international,https://api.crunchbase.com/v3.1/organizations/metalloy-international,Metalloy International,,,company,"Metalloys International is a well-known manufacturer, distributor, supplier and stockist of pipes, tubes, fasteners, sheets, etc.",http://public.crunchbase.com/t_api_images/bubxykk6guvejunufroe,metalloyinternational.com/,https://www.metalloyinternational.com/,https://www.facebook.com/Metalloy-International-109326044132049/?modal=admin_todo_tour,,,Mumbai,Maharashtra,India,1598880702,1598880702
spire-technical-solutions,organizations/spire-technical-solutions,organization/spire-technical-solutions,https://api.crunchbase.com/v3.1/organizations/spire-technical-solutions,Spire Technical Solutions,,,company,"Spire Technical Solutions specializes in project management services,  customer relationships, technical support and engineering support.",,spire-tec.com/,http://spire-tec.com/,,,,Austin,Texas,United States,1598596977,1598880542
nexus-impex,organizations/nexus-impex,organization/nexus-impex,https://api.crunchbase.com/v3.1/organizations/nexus-impex,Nexus Impex,,,company,"Neelkamal Steel Centre is Parent Company of Nexus Impex, It is a leading Importer, Stockist and Authorized Distributor.",http://public.crunchbase.com/t_api_images/nvfwskanqbvupvzxikpe,nexusstainless.com/,https://www.nexusstainless.com/,https://www.facebook.com/Nexus-Impex-100809934994294/?modal=admin_todo_tour,https://twitter.com/ImpexNexus,,Mumbai,Maharashtra,India,1598880436,1598880436
engineered-management-solutions,organizations/engineered-management-solutions,organization/engineered-management-solutions,https://api.crunchbase.com/v3.1/organizations/engineered-management-solutions,Engineered Management Solutions,,,company,"Engineered management solutions help businesses with managed IT services, cloud computing and communication needs.",,engineered-solutions.com,http://www.engineered-solutions.com,,https://twitter.com/901EMS,,Memphis,Tennessee,United States,1598594727,1598880081
mars-infotech,organizations/mars-infotech,organization/mars-infotech,https://api.crunchbase.com/v3.1/organizations/mars-infotech,Mars InfoTech,,,company,"Mars InfoTech is a consultancy that focuses on information technology services, staffing and recruitment services.",http://public.crunchbase.com/t_api_images/gtlbswl88lkyrsp5zjt2,com/home.html,http://marsinfotechinc.com/home.html,https://www.facebook.com/MarsInfotechInc/,https://twitter.com/MarsInfoTech,https://www.linkedin.com/company/mars-infotech-inc-/,Lisle,Illinois,United States,1598594898,1598880014
fraend,organizations/fraend,organization/fraend,https://api.crunchbase.com/v3.1/organizations/fraend,FRAEND,,,company,Improve yourself with Experts.,http://public.crunchbase.com/t_api_images/driopvughzev6qb5a7pm,fraend.com,https://fraend.com,https://www.facebook.com/hellohellofraend/,https://twitter.com/hellofraend,https://www.linkedin.com/company/hello-fraend/,Berlin,Berlin,Germany,1566927531,1598879995
hocmai,organizations/hocmai,organization/hocmai,https://api.crunchbase.com/v3.1/organizations/hocmai,Hocmai Education,,,company,Hocmai is the first and leading online education services for K-12 in Vietnam.,http://public.crunchbase.com/t_api_images/t6x1fkcyar7dqvtlwpbu,hocmai.edu.vn,http://hocmai.edu.vn,https://www.facebook.com/hethonggiaoduchocmai/,,,Hanoi,NA - Vietnam,Vietnam,1396457357,1598879950
elevated-components,organizations/elevated-components,organization/elevated-components,https://api.crunchbase.com/v3.1/organizations/elevated-components,Elevated Components,,,company,Elevated Components specializes in electronic component distribution and procurement.,http://public.crunchbase.com/t_api_images/lazg3bq4x7wzvmma1pir,elevatedcomponents.com/,https://www.elevatedcomponents.com/,,,,Lafayette,Colorado,United States,1598866840,1598879700
58-advertising,organizations/58-advertising,organization/58-advertising,https://api.crunchbase.com/v3.1/organizations/58-advertising,58 Advertising,,,company,"58 Advertising is a creative agency that offers printing, packaging services, graphic design, brand identity and web solutions.",http://public.crunchbase.com/t_api_images/mxp1cl6bxa0y0qcdjftb,58advertising.com/,https://58advertising.com/,,,,Atlanta,Georgia,United States,1598593924,1598879647
basil-bookseller-software,organizations/basil-bookseller-software,organization/basil-bookseller-software,https://api.crunchbase.com/v3.1/organizations/basil-bookseller-software,Basil Bookseller Software,,,company,"Basil Bookseller Software is a web based software that meets the demands of new, used, and online booksellers.",http://public.crunchbase.com/t_api_images/kp016r9vyh7rzubivpjz,basilsoftware.com,https://basilsoftware.com,https://www.facebook.com/BasilBooksellerSoftware,,https://www.linkedin.com/company/addico-solutions-inc.,Monroe,Georgia,United States,1598531517,1598879638
appic-softwares,organizations/appic-softwares,organization/appic-softwares,https://api.crunchbase.com/v3.1/organizations/appic-softwares,Appic Softwares,,,company,Appic Softwares is a software development company that specializes in creating custom web and mobile applications.,http://public.crunchbase.com/t_api_images/9f8ba1acc254f45fb768,appicsoftwares.com/,http://appicsoftwares.com/,https://www.facebook.com/AppicSoft/,https://twitter.com/AppicSoftwares,https://www.linkedin.com/company/appic-software,Jaipur,Rajasthan,India,1584588840,1598879555
the-agents-marketing-group,organizations/the-agents-marketing-group,organization/the-agents-marketing-group,https://api.crunchbase.com/v3.1/organizations/the-agents-marketing-group,The Agents'​ Marketing Group,,,company,The Agents'​ Marketing Group is a business development firm that offers training regarding marketing collateral and life insurance sales.,http://public.crunchbase.com/t_api_images/sayxxfqgj7jgozljawqu,amgida.com/,https://www.amgida.com/,https://www.facebook.com/agentsmktgrp/,,https://www.linkedin.com/company/the-agents'-marketing-group/,Watkinsville,Georgia,United States,1598593023,1598879485
rocky-mountain-833b,organizations/rocky-mountain-833b,organization/rocky-mountain-833b,https://api.crunchbase.com/v3.1/organizations/rocky-mountain-833b,Rocky Mountain Software,,,company,"Rocky Mountain Software offers complete and automated internet backup services, software systems, web hosting and spam filtering.",,rockymountain.com,http://www.rockymountain.com,,,,Vancouver,British Columbia,Canada,1598593401,1598879474
safety-training-center,organizations/safety-training-center,organization/safety-training-center,https://api.crunchbase.com/v3.1/organizations/safety-training-center,Safety Training Center,,,company,"Safety Training Center specializes in seminars, webinars and online training courses on topics from construction and electrical safety.",http://public.crunchbase.com/t_api_images/kle0fz4mr2w80779ve7o,thesafetytrainingcenter.net/,https://www.thesafetytrainingcenter.net/,,,,Alpharetta,Georgia,United States,1598865810,1598879423
uniforms-for-america,organizations/uniforms-for-america,organization/uniforms-for-america,https://api.crunchbase.com/v3.1/organizations/uniforms-for-america,Uniforms For America,,,company,"Uniform Store in Watertown, MA",,uniformsforamerica.com,http://www.uniformsforamerica.com,,,,,,,1598879358,1598879358
swapp-f1e0,organizations/swapp-f1e0,organization/swapp-f1e0,https://api.crunchbase.com/v3.1/organizations/swapp-f1e0,Swapp,,,company,Information Technology & Services,http://public.crunchbase.com/t_api_images/vvd8pfvnpttjnyyxstye,joinswapp.com,http://www.joinswapp.com,https://www.facebook.com/joinswapp/,,https://www.linkedin.com/company/14031475,Dublin,Dublin,Ireland,1590747497,1598879230
added-incentives,organizations/added-incentives,organization/added-incentives,https://api.crunchbase.com/v3.1/organizations/added-incentives,Added Incentives,,,company,Added Incentives offers customized products to businesses that include company names and logos with a variety of office supplies.,http://public.crunchbase.com/t_api_images/n9eba8onwofaho69t9qb,addedincentives.com/,https://www.addedincentives.com/,https://www.facebook.com/AddedIncentives/?fref=nf,https://twitter.com/AddedIncentives,https://www.linkedin.com/company/added-incentives/,Northbrook,Illinois,United States,1598863061,1598879168
efficient-energy,organizations/efficient-energy,organization/efficient-energy,https://api.crunchbase.com/v3.1/organizations/efficient-energy,Efficient Energy,,,company,Efficient Energy - Shape the refrigeration of tomorrow,http://public.crunchbase.com/t_api_images/vnokx1zogorwcs6mxiag,efficient-energy.de,https://efficient-energy.de,,https://twitter.com/efficient_EE,https://www.linkedin.com/company/efficient-energy-gmbh/,Feldkirchen,Bayern,Germany,1527584976,1598879128
northland-rehab-supply,organizations/northland-rehab-supply,organization/northland-rehab-supply,https://api.crunchbase.com/v3.1/organizations/northland-rehab-supply,Northland Rehab Supply,,,company,Northland Rehab Supply has been dedicated to serving the mobility needs of customers across South Dakota.,http://public.crunchbase.com/t_api_images/gjsxbrdahj3ry70pzya5,homemedicalequipmentsd.com/,https://www.homemedicalequipmentsd.com/,,,,Sioux Falls,South Dakota,United States,1598874779,1598878979
prime-retail-services,organizations/prime-retail-services,organization/prime-retail-services,https://api.crunchbase.com/v3.1/organizations/prime-retail-services,Prime Retail Services,,,company,"Prime Retail Services specializes in retail construction, fixture installation, and merchandising solutions.",http://public.crunchbase.com/t_api_images/fof1ijbkxyzzvkw19zyu,primeretailservices.com,http://www.primeretailservices.com,https://www.facebook.com/primeretailservices/,https://twitter.com/prime_retail,https://www.linkedin.com/company/prime-retail-services-inc/,Flowery Branch,Georgia,United States,1598592465,1598878971
soltell-systems,organizations/soltell-systems,organization/soltell-systems,https://api.crunchbase.com/v3.1/organizations/soltell-systems,Soltell Systems,,,company,Soltell introduces Industrial IoT-powered automation to enable cost-efficient management of distributed solar photovoltaic (PV) facilities,http://public.crunchbase.com/t_api_images/r4ruirrs5hbcmrkenwdm,soltell.com,https://www.soltell.com,https://www.facebook.com/soltell.systems/,https://twitter.com/SoltellSystems,https://www.linkedin.com/company/soltell/,Ra'anana,HaMerkaz,Israel,1528978161,1598878904
ficas-ag,organizations/ficas-ag,organization/ficas-ag,https://api.crunchbase.com/v3.1/organizations/ficas-ag,FiCAS AG,,,company,"FiCAS is a crypto asset investment firm, specialized  in actively managed crypto investments",http://public.crunchbase.com/t_api_images/qif9ywjfwhsuhee7w6sa,ficas.com,https://FiCAS.com,https://www.facebook.com/FiCAS.Ltd/,https://twitter.com/Ficas_ltd,https://www.linkedin.com/company/13055543/admin/,Zug,Zug,Switzerland,1597308932,1598878884
faye-b-s-reminders,organizations/faye-b-s-reminders,organization/faye-b-s-reminders,https://api.crunchbase.com/v3.1/organizations/faye-b-s-reminders,Faye B's Reminders,,,company,Faye B's Reminders is an online store for promotional products and offers marketing solutions to promote the business.,http://public.crunchbase.com/t_api_images/x7soekneifitmr0cov3g,fayebsreminders.com/,https://www.fayebsreminders.com/,https://www.facebook.com/pages/category/Company/Faye-Bs-Reminders-201586463364160/,,,Reidsville,Georgia,United States,1598861974,1598878836
colombia-venture-capital-it,organizations/colombia-venture-capital-it,organization/colombia-venture-capital-it,https://api.crunchbase.com/v3.1/organizations/colombia-venture-capital-it,Colombia Venture Capital IT,,,investor,Colombia Venture Capital IT is an investment vehicle specialized in the technology industry.,http://public.crunchbase.com/t_api_images/ipcouewukxn95layohnh,colombiavcit.com/,https://colombiavcit.com/,,,,,,,1598878714,1598878714
esportbox,organizations/esportbox,organization/esportbox,https://api.crunchbase.com/v3.1/organizations/esportbox,ESPORTS BOX,,,company,Convenience store for eSports. From eSports accessories to special financial services. Over 800 products and services .,http://public.crunchbase.com/t_api_images/bvd2yfivgkv7izygidam,esportsbox.net,http://esportsbox.net,,https://twitter.com/esportsboxstore,https://www.linkedin.com/showcase/esportboxstore,New York,New York,United States,1595407469,1598878707
compa-df68,organizations/compa-df68,organization/compa-df68,https://api.crunchbase.com/v3.1/organizations/compa-df68,compa,,,company,Payment platform for construction projects,http://public.crunchbase.com/t_api_images/kqe1skxrdwc357zc6ylj,,,,,,,,,1598878679,1598878679
hococo,organizations/hococo,organization/hococo,https://api.crunchbase.com/v3.1/organizations/hococo,hococo,,,company,SaaS for Real Estate,http://public.crunchbase.com/t_api_images/sou96cxwvszfzir41yog,hococo.io,https://hococo.io,https://www.facebook.com/hococoapp,,https://www.linkedin.com/company/hococo/,Copenhagen,Hovedstaden,Denmark,1598876837,1598878663
qwikfone,organizations/qwikfone,organization/qwikfone,https://api.crunchbase.com/v3.1/organizations/qwikfone,QwikFone,,,company,Organization,http://public.crunchbase.com/t_api_images/hxmezlbztevzry5v5uge,qwikfone.com/,https://www.qwikfone.com/,https://www.facebook.com/qwikfone,https://twitter.com/qwikfone,https://www.linkedin.com/company/qwikfone,London,England,United Kingdom,1598878445,1598878445
comserve-wireless,organizations/comserve-wireless,organization/comserve-wireless,https://api.crunchbase.com/v3.1/organizations/comserve-wireless,ComServe Wireless,,,company,ComServe Wireless offers wireless services with range of products and services for residential and business purposes.,http://public.crunchbase.com/t_api_images/xzwk6ffr0dnens0cmpqp,comservewireless.com,http://www.comservewireless.com,https://www.facebook.com/comserve.verizon/,https://twitter.com/comserveverizon?lang=en,https://www.linkedin.com/company/comserve-wireless/,Richmond,Virginia,United States,1598859694,1598878407
mss-business-transformation-advisory,organizations/mss-business-transformation-advisory,organization/mss-business-transformation-advisory,https://api.crunchbase.com/v3.1/organizations/mss-business-transformation-advisory,MSS Business Transformation Advisory,,,company,MSS Business Transformation Advisory is a management consulting firm that supports small and medium-size companies.,http://public.crunchbase.com/t_api_images/jsm0jubrmfl57jjlgluy,mssbta.com,https://www.mssbta.com,https://www.facebook.com/mssbta,https://twitter.com/mssbta,https://www.linkedin.com/company/mss-business-transformation-advisory,Phoenix,Arizona,United States,1598528295,1598878394
saeed-ajmal,organizations/saeed-ajmal,organization/saeed-ajmal,https://api.crunchbase.com/v3.1/organizations/saeed-ajmal,Saeed Ajmal,,,company,Today Match Prediction. it provide 100% sure and safe cricket match prediction tips about who will win toda,http://public.crunchbase.com/t_api_images/rxrwnafylhbrtvxjnd02,oneuptheme.com/,https://oneuptheme.com/,,,,,,,1578985668,1598878376
source-israel,organizations/source-israel,organization/source-israel,https://api.crunchbase.com/v3.1/organizations/source-israel,Source-Israel,,,investor,"Source-Israel manufactures and markets sandals and flip-flops, drinking systems, bags, hiking equipment, and a variety of military products.",http://public.crunchbase.com/t_api_images/kum55tope4rzto728ulm,co.il/,https://source-israel.co.il/,https://www.facebook.com/pg/shoresh.il,,,Tirat Carmel,Hefa,Israel,1598878360,1598878360
exb-soft,organizations/exb-soft,organization/exb-soft,https://api.crunchbase.com/v3.1/organizations/exb-soft,EXB SOFT,,,company,EXBSoft is a B2B software development company that helps enterprises to be outstanding among the competition.,http://public.crunchbase.com/t_api_images/vgbrlwfor6qmklj8hrum,exbsoft.com,http://www.exbsoft.com,,,https://www.linkedin.com/company/exbsoft,,,,1598878253,1598878253
green-sites,organizations/green-sites,organization/green-sites,https://api.crunchbase.com/v3.1/organizations/green-sites,Green sites,,,company,Free directory submission online is one of the best way to publish your website online.,http://public.crunchbase.com/t_api_images/rd2fsxq01cxkwhmtv0qx,greensites.biz/,https://www.greensites.biz/,,,,Cheshire,Oregon,United States,1598878221,1598878221
display-devices,organizations/display-devices,organization/display-devices,https://api.crunchbase.com/v3.1/organizations/display-devices,Display Devices,,,company,"Display Devices is a manufacturing company that offers projector, camera, flat-screen, engineering and microphone solutions.",http://public.crunchbase.com/t_api_images/g8bsyp8mi753wbywvtjn,displaydevices.com,https://www.displaydevices.com,https://www.facebook.com/pg/DisplayDevices,,https://www.linkedin.com/company/display-devices,Golden,Colorado,United States,1598624840,1598877988
mint-management-technologies,organizations/mint-management-technologies,organization/mint-management-technologies,https://api.crunchbase.com/v3.1/organizations/mint-management-technologies,Mint Management Technologies,,,company,Mint AI uses advanced AI technology to improve people’s lives. With a strong focus on Computer Vision in the Healthcare.,http://public.crunchbase.com/t_api_images/e2e0d3e7a9b3561c044f,mint.co.za,https://mint.co.za,http://www.facebook.com/Mint.Management.Technologies,https://twitter.com/MintGroupZA/,https://www.linkedin.com/company/mint_group/,Austin,Texas,United States,1575438351,1598877960
eliad-holdings,organizations/eliad-holdings,organization/eliad-holdings,https://api.crunchbase.com/v3.1/organizations/eliad-holdings,Eliad Holdings,,,investor,Eliad Holdings,,,,,,,,,,1598877947,1598877947
cyberstreams,organizations/cyberstreams,organization/cyberstreams,https://api.crunchbase.com/v3.1/organizations/cyberstreams,CyberStreams,,,company,"CyberStreams is an IT company that deals with VoIP, technical support, cloud computing and cyber-security solutions.",http://public.crunchbase.com/t_api_images/awdebn27x8hkiyjbxld3,cyberstreams.com/,https://www.cyberstreams.com/,https://www.facebook.com/CyberStreams/,https://twitter.com/cyberstreams,https://www.linkedin.com/company/cyberstreams/,Tukwila,Washington,United States,1598536403,1598877920
kinastic,organizations/kinastic,organization/kinastic,https://api.crunchbase.com/v3.1/organizations/kinastic,kinastic AG,,,company,kinastic is a young Swiss company with an advanced fitness and lifestyle platform for middle to large enterprises.,http://public.crunchbase.com/t_api_images/xzevmsmss1nofukwd6ok,kinastic.com,http://www.kinastic.com,,,https://www.linkedin.com/company/kinastic-ag/,Winterthur,Zurich,Switzerland,1504703674,1598877894
dixie-paint,organizations/dixie-paint,organization/dixie-paint,https://api.crunchbase.com/v3.1/organizations/dixie-paint,Dixie Paint,,,company,"Dixie Paint specializes in home improvement services and offers molding installation, consulting, roof replacement and interior painting.",,dixiepaintinc.com/,https://www.dixiepaintinc.com/,,,,Wake Forest,North Carolina,United States,1598535547,1598877798
blue-chip-consulting,organizations/blue-chip-consulting,organization/blue-chip-consulting,https://api.crunchbase.com/v3.1/organizations/blue-chip-consulting,Blue Chip Consulting,,,company,Blue Chip is a technology consulting firm.,http://public.crunchbase.com/t_api_images/v1449744504/etswwqskuh0amqebofxc.png,bluechip-llc.com/,http://www.bluechip-llc.com/,https://www.facebook.com/bluechipus,https://www.twitter.com/bluechipio,,Seven Hills,New South Wales,Australia,1449744531,1598877791
bangladesh-university-of-engineering-and-technology,organizations/bangladesh-university-of-engineering-and-technology,organization/bangladesh-university-of-engineering-and-technology,https://api.crunchbase.com/v3.1/organizations/bangladesh-university-of-engineering-and-technology,Bangladesh University of Engineering and Technology (BUET),,,school,"Public university in Bangladesh provides BSc, MSc and PhD degrees in engineering and architecture.",http://public.crunchbase.com/t_api_images/v1450504650/f05y5coaksefpsusyva7.png,buet.ac.bd,http://www.buet.ac.bd,https://www.facebook.com/buet.edu,,,Dhaka,Dhaka,Bangladesh,1397987481,1598877677
pds-tech,organizations/pds-tech,organization/pds-tech,https://api.crunchbase.com/v3.1/organizations/pds-tech,Pds Tech,,,company,"Pds Tech specializes in talent acquisition services and offers engineering services, staffing solutions, job search & employee recognition.",http://public.crunchbase.com/t_api_images/qwgaztrfovfw5bgg6kru,pdstech.com/,https://www.pdstech.com/,https://www.facebook.com/PDSTechInc/,,https://www.linkedin.com/company/pds-tech/,Irving,Texas,United States,1598534634,1598877671
situ-8203,organizations/situ-8203,organization/situ-8203,https://api.crunchbase.com/v3.1/organizations/situ-8203,Situ,,,company,"Situ is a financial services platform, issuing personal banking, credit cards and loans to the $5.5 Trillion a year, new resident community.",http://public.crunchbase.com/t_api_images/lifzx6k27pjst0odr9rh,banksitu.com,http://www.banksitu.com,,,,,,,1598877573,1598877573
get-mee,organizations/get-mee,organization/get-mee,https://api.crunchbase.com/v3.1/organizations/get-mee,Get Mee,,,company,Get Mee is a personal development coach. The product is a mobile app for Android and iOS Smartphones.,http://public.crunchbase.com/t_api_images/ucvrlnyk7gkfey6dpqwv,getmee.ai,https://getmee.ai,https://www.facebook.com/aiforpersonaldevelopment,https://twitter.com/getmeeai,https://www.linkedin.com/company/get-mee,,,,1598877550,1598877550
longbottom-communications,organizations/longbottom-communications,organization/longbottom-communications,https://api.crunchbase.com/v3.1/organizations/longbottom-communications,Longbottom Communications,,,company,"Longbottom Communications expertise in branding, PR, marketing and strategic communications to space, defense and nuclear energy industries.",http://public.crunchbase.com/t_api_images/dz6aamemb3jderzbwsbv,longbottomcommunications.com/,https://www.longbottomcommunications.com/,,https://twitter.com/longbottomtalk,,Mc Lean,Virginia,United States,1598857500,1598877524
phantom-screens,organizations/phantom-screens,organization/phantom-screens,https://api.crunchbase.com/v3.1/organizations/phantom-screens,Phantom Screens,,,company,"Capital Reach is a store that specializes in distributing retractable screens for doors, windows, patios, verandas and porches.",http://public.crunchbase.com/t_api_images/ucyhzvyw7kpjpbzvovea,phantomscreens.com/,https://www.phantomscreens.com/,https://www.facebook.com/phantomretractablescreens/,https://twitter.com/phantom_screens,https://www.linkedin.com/company/phantom-screens-corporate-office/,Abbotsford,British Columbia,Canada,1598533888,1598877434
shelfline,organizations/shelfline,organization/shelfline,https://api.crunchbase.com/v3.1/organizations/shelfline,shelfline,,,company,"shelfline is a digital ‘learn to earn’ solution, turning the last mile distribution solution into an SME.",http://public.crunchbase.com/t_api_images/fegog6qknccljtxgklh8,shelfline.com/,https://shelfline.com/,https://www.facebook.com/shelfline1,https://twitter.com/Shelfline1,https://www.linkedin.com/company/shelfline/,Za'tar,Ain Defla,Algeria,1598877199,1598877199
earth-filing,organizations/earth-filing,organization/earth-filing,https://api.crunchbase.com/v3.1/organizations/earth-filing,Earth Filing,,,company,Earth Filing offers digital map creation and printing services for the construction industry.,,earthfa.co.jp,http://www.earthfa.co.jp,,,,Miyazaki,Miyazaki,Japan,1598877167,1598877167
enad-global-7,organizations/enad-global-7,organization/enad-global-7,https://api.crunchbase.com/v3.1/organizations/enad-global-7,Enad Global 7,,,company,"Enad Global 7 is a family of companies within the gaming industry that develops, markets, publishes and distributes PC.",http://public.crunchbase.com/t_api_images/zau0jbe6cghqnuebuhgh,enadglobal7.com/,https://www.enadglobal7.com/,https://www.facebook.com/EG7-116311049919508/,https://twitter.com/enadglobal7,https://www.linkedin.com/company/eg7,Stockholm,Stockholms Lan,Sweden,1598877147,1598877147
photo-web,organizations/photo-web,organization/photo-web,https://api.crunchbase.com/v3.1/organizations/photo-web,Photo Web,,,company,"Photoweb specializes in architectural photography, video production and 360-degree virtual tours for hotels.",http://public.crunchbase.com/t_api_images/vvggrjro12edimrnqjcb,photowebusa.com,http://www.photowebusa.com,https://www.facebook.com/PhotoWeb.Hotels/,,https://www.linkedin.com/company/photoweb-hotel-photography-video/,Pueblo,Colorado,United States,1598591831,1598877081
egi-a7f5,organizations/egi-a7f5,organization/egi-a7f5,https://api.crunchbase.com/v3.1/organizations/egi-a7f5,EGI,,,company,"EGI offers system consulting, program development and maintenance services.",http://public.crunchbase.com/t_api_images/jdsypy7icxomhcnskbor,co.jp/,http://www.egi.co.jp/,,,,Toshima,Tokyo,Japan,1598877073,1598877073
virtual-web-resources,organizations/virtual-web-resources,organization/virtual-web-resources,https://api.crunchbase.com/v3.1/organizations/virtual-web-resources,Virtual Web Resources,,,company,Virtual Web Resources offers web hosting services to individuals and companies.,,vwebr.net/,https://vwebr.net/,,,,Denver,Colorado,United States,1598856650,1598877050
abu-corporation,organizations/abu-corporation,organization/abu-corporation,https://api.crunchbase.com/v3.1/organizations/abu-corporation,ABU corporation,,,company,ABU corporation is a contactless IC card reader and related software development and seller company.,http://public.crunchbase.com/t_api_images/nkrlrvxwvrpcgksfihuc,co.jp/,http://www.abu.co.jp/,,,https://www.linkedin.com/company/%EF%BC%88%E6%9C%89%EF%BC%89%E3%82%A8%E3%83%BC%E3%83%93%E3%83%BC%E3%83%A6%E3%83%BC/,Himeji,Hyogo,Japan,1598877023,1598877023
earth-link,organizations/earth-link,organization/earth-link,https://api.crunchbase.com/v3.1/organizations/earth-link,Earth Link,,,company,Earth Link provides business system development and IT solutions.,http://public.crunchbase.com/t_api_images/znrhsk8wjv9pvsumyeun,co.jp/,https://www.earthlink.co.jp/,https://www.facebook.com/earthlink.co.jp/,,https://www.linkedin.com/company/%EF%BC%88%E6%A0%AA%EF%BC%89%E3%82%A2%E3%83%BC%E3%82%B9%E3%83%AA%E3%83%B3%E3%82%AF,Tama,Tokyo,Japan,1598877015,1598877015
edgeworks,organizations/edgeworks,organization/edgeworks,https://api.crunchbase.com/v3.1/organizations/edgeworks,EdgeWorks,,,company,"EdgeWorks is a computer, comic and scenario production company.",http://public.crunchbase.com/t_api_images/jnce3rlxi5o0kwevhzgg,co.jp/,https://www.edge-works.co.jp/,,https://twitter.com/edge_works,https://www.linkedin.com/company/%EF%BC%88%E6%A0%AA%EF%BC%89%E3%82%A8%E3%83%83%E3%82%B8%E3%83%AF%E3%83%BC%E3%82%AF%E3%82%B9/,Chofu,Tokyo,Japan,1598876987,1598876987
